Date,Close,Volume
2022-01-03,101.49342830602247,855073
2022-01-04,101.7168997036801,276089
2022-01-05,103.51227677988147,297392
2022-01-06,107.05833649269753,258823
2022-01-07,107.09002974325085,730152
2022-01-10,107.1217558293525,493002
2022-01-11,110.78018146036729,833429
2022-01-12,112.8150509186731,598863
2022-01-13,112.37610214680319,467654
2022-01-14,113.96122223397512,679036
2022-01-17,113.5343868483502,630089
2022-01-18,113.10292734120969,250262
2022-01-19,114.08685188434175,542905
2022-01-20,110.76029139502616,335362
2022-01-21,107.81045573000009,544209
2022-01-24,107.18588067151815,653880
2022-01-25,105.6602184308493,897079
2022-01-26,106.78871309603984,764076
2022-01-27,105.47266494499743,319963
2022-01-28,103.14805754232684,580761
2022-01-31,106.57935508016995,348710
2022-02-01,106.62780247919687,320984
2022-02-02,107.26285888857272,997059
2022-02-03,104.91336251614581,956748
2022-02-04,104.32459706709545,882355
2022-02-07,105.04644224651518,364512
2022-02-08,103.24445509167057,701863
2022-02-09,104.49585112836192,368799
2022-02-10,103.79457374852431,337549
2022-02-11,103.71118624893775,694319
2022-02-14,103.00777302447896,584299
2022-02-15,107.21232939349684,712210
2022-02-16,107.68533494402097,548982
2022-02-17,106.06991308610917,224046
2022-02-18,108.21500291031555,506619
2022-02-21,106.2733156103735,132097
2022-02-22,107.19104280038302,766326
2022-02-23,103.77170255262347,749150
2022-02-24,101.6153304548266,330229
2022-02-25,102.50905292656485,218834
2022-02-28,104.48598608655567,193848
2022-03-01,105.32872264893561,152921
2022-03-02,105.59742608415912,805086
2022-03-03,105.49521869298056,750429
2022-03-04,103.03817471224569,805660
2022-03-07,102.09848629545628,384821
2022-03-08,101.6772087535367,155609
2022-03-09,104.29145320597453,327897
2022-03-10,105.47868978511146,131024
2022-03-11,102.452609474386,170313
2022-03-14,103.60077741317558,489957
2022-03-15,103.33061285234295,284078
2022-03-16,102.47676885173104,457429
2022-03-17,104.20012142941276,561243
2022-03-18,106.76212047440467,213632
2022-03-21,109.12468071263706,351451
2022-03-22,107.94624566619179,103051
2022-03-23,107.82782091448937,804107
2022-03-24,108.99034777729649,476836
2022-03-25,111.44143803154121,711523
2022-03-28,110.98308955585063,821772
2022-03-29,111.11177160252299,289407
2022-03-30,109.39910165451093,549395
2022-03-31,107.5066884063496,562894
2022-04-01,109.631740051138,311810
2022-04-04,112.84422010827963,827975
2022-04-05,113.20019986511896,173523
2022-04-06,115.70726566090302,860463
2022-04-07,116.93053771099828,194476
2022-04-08,116.14029820178803,333841
2022-04-11,117.36308941280487,903451
2022-04-12,120.93916254573679,970045
2022-04-13,121.3675104675169,322866
2022-04-14,124.99679777914491,186672
2022-04-15,120.25730757096542,698135
2022-04-18,122.40111257971587,444894
2022-04-19,123.07520671619221,834994
2022-04-20,122.97719201526047,128251
2022-04-21,123.66071356833147,727769
2022-04-22,120.18557573912969,474710
2022-04-25,120.24623196345468,650233
2022-04-26,121.46045710647816,977284
2022-04-27,124.9162451959612,132217
2022-04-28,124.3797047594139,108308
2022-04-29,123.26271755362752,368093
2022-05-02,122.75920346645844,283062
2022-05-03,125.0900077018626,494366
2022-05-04,126.24750992118197,844840
2022-05-05,125.68798951364789,200235
